pid,condition,trial_index,type_lab,choice,choice_rt,choice_prob,points,regret,regret_rt,tree_1,tree_2,tree_3,totalpoints,final_points,tree_best,tree_medium,tree_worst,choice_goodbad,event_type,label,msg_time,i.start,i.end,sac_gstx,sac_gsty,sac_genx,sac_geny,sac_duration,fix_gstx,fix_gsty,fix_genx,fix_geny,fix_duration
64132,regret,3,feedback,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_3,13054,14534,14649,600.5999755859375,543.70001220703125,460.1000061035156,453.7999877929687,115,NA,NA,NA,NA,NA
64132,regret,3,feedback,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_3,13054,14893,14919,461.7000122070313,462.7999877929687,528.79998779296875,590.29998779296875,26,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,15233,15274,538.70001220703125,597,852,851.5999755859375,41,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,15474,15492,835.70001220703125,856.70001220703125,802.4000244140625,921.9000244140624,18,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,15675,15697,788.70001220703125,938,738.0999755859375,892.4000244140625,22,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,15835,15903,714.4000244140625,888,759.70001220703125,787.5,68,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,16071,16095,757.20001220703125,791.4000244140625,882.5999755859375,785.9000244140625,24,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,16309,16331,898.0999755859375,788.5,985.20001220703125,791.0999755859375,22,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,16475,16514,1003.9000244140624,795.5999755859375,754.4000244140625,831.70001220703125,39,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,16726,16854,760.29998779296875,837.70001220703125,933.70001220703125,803.29998779296875,128,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,17043,17056,934,807.5,970.5,804.5,13,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,17229,17259,975.5999755859376,806.20001220703125,792.79998779296875,844.5999755859375,30,NA,NA,NA,NA,NA
64132,regret,3,regret,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,REGRET_3,15050,17505,17525,768.9000244140625,842.5,772.0999755859375,925.70001220703125,20,NA,NA,NA,NA,NA
