pid,condition,trial_index,choice,choice_rt,choice_prob,points,regret,regret_rt,tree_1,tree_2,tree_3,totalpoints,final_points,tree_best,tree_medium,tree_worst,choice_goodbad
33835,early_regret,20,2,0.4643843329977244,0.5,0,2,0.5885083329922054,0.7,0.5,0.2,99,357,1,2,3,medium
33835,early_regret,21,3,0.3555612909985939,0.2,0,3,0.3206816669990076,0.7,0.5,0.2,99,357,1,2,3,worst
33835,early_regret,22,1,0.272182458997122,0.7,1,NA,NA,0.7,0.5,0.2,100,357,1,2,3,best
33835,early_regret,23,1,0.45610158299678005,0.7,1,NA,NA,0.7,0.5,0.2,101,357,1,2,3,best
33835,early_regret,24,2,0.3174755000072764,0.5,1,NA,NA,0.7,0.5,0.2,102,357,1,2,3,medium
33835,early_regret,25,2,0.31250358300167136,0.5,0,3,0.782176916996832,0.7,0.5,0.2,102,357,1,2,3,medium
33835,early_regret,26,1,0.463017582995235,0.7,1,NA,NA,0.7,0.5,0.2,103,357,1,2,3,best
33835,early_regret,27,1,0.9552765420085052,0.7,0,2,0.4124069169920403,0.7,0.5,0.2,103,357,1,2,3,best
33835,early_regret,28,2,0.27771358301106375,0.5,0,2,0.597869332996197,0.7,0.5,0.2,103,357,1,2,3,medium
33835,early_regret,29,1,0.215079165995121,0.7,1,NA,NA,0.7,0.5,0.2,104,357,1,2,3,best
33835,early_regret,30,1,1.5769122499914374,0.7,1,NA,NA,0.7,0.5,0.2,105,357,1,2,3,best
33835,early_regret,31,2,0.32857545900333207,0.5,1,NA,NA,0.7,0.5,0.2,106,357,1,2,3,medium
33835,early_regret,32,1,2.4022093340026913,0.7,1,NA,NA,0.7,0.5,0.2,107,357,1,2,3,best
33835,early_regret,33,2,1.136576167002204,0.5,0,NA,NA,0.7,0.5,0.2,107,357,1,2,3,medium
33835,early_regret,34,1,1.4446707500028424,0.7,1,NA,NA,0.7,0.5,0.2,108,357,1,2,3,best
33835,early_regret,35,2,1.5840284579899162,0.5,0,NA,NA,0.7,0.5,0.2,108,357,1,2,3,medium
33835,early_regret,36,1,0.6307154589885613,0.7,0,NA,NA,0.7,0.5,0.2,108,357,1,2,3,best
33835,early_regret,37,2,0.5897792500036303,0.5,1,NA,NA,0.7,0.5,0.2,109,357,1,2,3,medium
33835,early_regret,38,2,1.085287875001086,0.5,0,NA,NA,0.7,0.5,0.2,109,357,1,2,3,medium
33835,early_regret,39,1,1.0899251660011942,0.7,1,NA,NA,0.7,0.5,0.2,110,357,1,2,3,best
33835,early_regret,40,1,0.29583275000914,0.7,1,NA,NA,0.7,0.5,0.2,111,357,1,2,3,best
33835,early_regret,41,2,0.3936296250030864,0.5,1,NA,NA,0.7,0.5,0.2,112,357,1,2,3,medium
33835,early_regret,42,3,0.41090762500243727,0.2,0,NA,NA,0.7,0.5,0.2,112,357,1,2,3,worst
33835,early_regret,43,1,1.5424263329914538,0.7,1,NA,NA,0.7,0.5,0.2,113,357,1,2,3,best
33835,early_regret,44,1,0.5609729579882696,0.7,1,NA,NA,0.7,0.5,0.2,114,357,1,2,3,best
33835,early_regret,45,2,0.37076854199403897,0.5,0,NA,NA,0.7,0.5,0.2,114,357,1,2,3,medium
33835,early_regret,46,1,1.234763667001971,0.7,1,NA,NA,0.7,0.5,0.2,115,357,1,2,3,best
33835,early_regret,47,2,0.31275250000180677,0.5,0,NA,NA,0.7,0.5,0.2,115,357,1,2,3,medium
33835,early_regret,48,1,0.34368141600862145,0.7,0,NA,NA,0.7,0.5,0.2,115,357,1,2,3,best
33835,early_regret,49,2,0.35093087499262765,0.5,0,NA,NA,0.7,0.5,0.2,115,357,1,2,3,medium
33835,early_regret,50,2,0.4394149580039084,0.5,1,NA,NA,0.7,0.5,0.2,116,357,1,2,3,medium
33835,early_regret,51,2,0.34516716698999517,0.5,0,NA,NA,0.7,0.5,0.2,116,357,1,2,3,medium
